iter	Passed	Remaining
0	1	1528
1	3	1684
2	4	1460
3	5	1343
4	6	1255
5	7	1257
6	8	1237
7	9	1186
8	10	1137
9	11	1098
10	11	1067
11	12	1047
12	14	1088
13	16	1140
14	17	1126
15	18	1115
16	19	1112
17	20	1102
18	20	1082
19	21	1064
20	22	1049
21	23	1034
22	24	1027
23	25	1031
24	26	1027
25	27	1019
26	29	1074
27	31	1085
28	32	1083
29	33	1090
30	34	1079
31	35	1072
32	36	1068
33	37	1079
34	38	1069
35	39	1058
36	40	1049
37	41	1046
38	44	1100
39	45	1103
40	47	1101
41	48	1109
42	49	1104
43	50	1097
44	51	1090
45	52	1084
46	53	1080
47	54	1079
48	55	1075
49	57	1084
50	59	1107
51	60	1109
52	61	1104
53	62	1098
54	63	1092
55	64	1090
56	65	1088
57	66	1082
58	67	1074
59	68	1067
60	68	1060
61	69	1056
62	72	1080
63	74	1083
64	75	1081
65	76	1077
66	77	1075
67	78	1071
68	78	1065
69	79	1058
70	80	1052
71	81	1047
72	82	1045
73	83	1042
74	84	1037
75	84	1031
76	86	1042
77	88	1044
78	89	1043
79	90	1039
80	91	1034
81	91	1029
82	92	1020
83	93	1020
84	94	1016
85	95	1012
86	96	1008
87	96	1003
88	97	1000
89	100	1019
90	101	1017
91	103	1018
92	104	1015
93	105	1013
94	106	1010
95	106	1006
96	107	1001
97	108	997
98	109	997
99	111	1004
100	115	1030
101	117	1032
102	119	1037
103	120	1037
104	121	1037
105	122	1037
106	123	1033
107	124	1029
108	125	1026
109	126	1022
110	127	1018
111	130	1035
112	131	1033
113	132	1030
114	133	1028
115	134	1027
116	135	1022
117	136	1018
118	137	1015
119	137	1011
120	138	1007
121	139	1004
122	140	1003
123	141	999
124	143	1002
125	144	1002
126	145	1000
127	146	999
128	147	996
129	148	993
130	149	989
131	149	986
132	151	990
133	153	990
134	154	987
135	154	984
136	155	982
137	157	986
138	159	985
139	160	984
140	161	983
141	161	978
142	162	976
143	163	973
144	164	970
145	165	970
146	168	977
147	169	978
148	173	990
149	174	989
150	175	987
151	176	986
152	177	984
153	178	983
154	179	980
155	180	978
156	181	976
157	182	974
158	183	972
159	186	979
160	187	976
161	188	973
162	189	971
163	190	968
164	191	966
165	191	964
166	192	961
167	193	959
168	194	957
169	195	954
170	196	952
171	197	950
172	198	948
173	199	949
174	201	950
175	202	950
176	204	949
177	205	948
178	206	946
179	207	944
180	208	942
181	209	940
182	210	937
183	210	935
184	211	933
185	212	930
186	213	928
187	215	930
188	216	928
189	217	926
190	218	923
191	219	921
192	220	920
193	221	919
194	222	918
195	223	916
196	224	915
197	225	913
198	226	911
199	227	909
200	229	914
201	231	913
202	232	912
203	233	910
204	234	909
205	235	907
206	236	906
207	237	904
208	238	902
209	239	899
210	240	897
211	241	897
212	244	903
213	245	902
214	247	902
215	248	901
216	249	899
217	250	897
218	250	895
219	251	892
220	252	890
221	253	888
222	254	887
223	256	886
224	258	889
225	259	890
226	261	890
227	262	889
228	263	887
229	264	885
230	265	883
231	266	882
232	267	880
233	268	878
234	269	876
235	270	874
236	271	875
237	273	874
238	274	872
239	275	871
240	276	869
241	277	867
242	277	865
243	278	863
244	279	861
245	280	859
246	281	857
247	282	855
248	283	854
249	284	852
250	286	855
251	287	854
252	288	852
253	289	850
254	290	848
255	291	847
256	292	845
257	293	843
258	294	842
259	295	840
260	296	838
261	297	836
262	297	834
263	298	833
264	299	831
265	302	835
266	303	834
267	305	833
268	306	832
269	307	831
270	308	829
271	309	828
272	310	826
273	311	824
274	312	822
275	312	821
276	313	819
277	316	821
278	317	820
279	319	820
280	320	818
281	320	817
282	321	815
283	322	813
284	323	811
285	325	812
286	326	811
287	327	809
288	329	811
289	331	810
290	332	809
291	333	808
292	334	806
293	335	804
294	335	802
295	336	800
296	337	799
297	338	797
298	339	795
299	340	793
300	341	793
301	345	799
302	347	799
303	348	798
304	349	796
305	350	795
306	351	793
307	352	791
308	353	790
309	354	789
310	355	788
311	356	786
312	360	792
313	362	790
314	363	790
315	365	791
316	367	791
317	368	790
318	369	788
319	370	787
320	371	785
321	373	785
322	374	785
323	376	784
324	377	784
325	378	782
326	379	781
327	380	779
328	381	778
329	382	776
330	383	774
331	384	773
332	385	771
333	386	769
334	388	771
335	389	770
336	390	768
337	392	767
338	392	766
339	394	765
340	395	763
341	396	762
342	397	760
343	397	758
344	398	757
345	399	755
346	400	754
347	402	754
348	403	753
349	405	752
350	406	751
351	407	749
352	408	748
353	409	746
354	409	744
355	411	743
356	412	742
357	413	740
358	413	739
359	415	738
360	417	738
361	418	737
362	419	736
363	420	734
364	421	733
365	422	732
366	423	730
367	424	729
368	425	727
369	426	726
370	427	724
371	428	723
372	431	725
373	432	724
374	433	722
375	434	721
376	435	719
377	436	718
378	437	716
379	438	714
380	439	713
381	440	712
382	441	710
383	442	709
384	443	707
385	446	709
386	447	708
387	448	707
388	449	705
389	450	704
390	451	702
391	452	701
392	453	699
393	453	698
394	454	696
395	455	695
396	456	693
397	457	692
398	458	691
399	460	690
400	461	689
401	462	687
402	463	686
403	464	685
404	465	684
405	466	682
406	467	681
407	468	679
408	469	678
409	470	676
410	471	675
411	472	673
412	474	674
413	475	673
414	476	671
415	477	670
416	478	669
417	479	667
418	480	666
419	481	664
420	482	663
421	483	661
422	483	660
423	484	658
424	485	657
425	487	656
426	489	656
427	490	655
428	491	654
429	492	653
430	493	651
431	494	650
432	495	648
433	496	647
434	497	646
435	499	645
436	500	645
437	502	645
438	504	644
439	506	644
440	507	643
